Index,Filename,AVG CPU Cycles / ms,AVG MEM Changes / ms,AVG Wattage,Length of observation period,AVG Raleway Load Time,AVG Montserrat Load Time,AVG SourceSans Load Time
263,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.29 profile(2).json,14167241,28171.69808317905,0.001825255555,97.953,24.546,39.032,32.041
264,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.29 profile.json,14875578,35443.87698804064,0.001856653611,100.798,24.046,35.92,29.953
265,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.30 profile(1).json,12835405,47641.79869314552,0.000768108611,37.61,25.551,38.406,29.042
266,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.30 profile(2).json,13677778,21296.209318774552,0.001728689167,92.688,30.331,40.781,33.935
267,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.30 profile(3).json,13869162,62873.87173316255,0.000727035278,35.291,21.255,36.257,25.678
268,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.30 profile.json,13841324,31424.205929035383,0.001688954444,90.18,30.338,34.087,34.36
269,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.31 profile(1).json,14553838,26512.080942569963,0.001592879444,84.414,24.182,43.066,34.083
270,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.31 profile(2).json,13444304,27463.214162377222,0.0020443302769999998,111.056,31.267,47.874,39.986
271,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.31 profile.json,14054076,25852.577880225577,0.001074226945,54.877,33.908,55.275,44.678
272,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.32 profile(1).json,14560767,28497.927136946877,0.001664740833,89.06,28.885,36.743,31.07
273,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.32 profile(2).json,12300035,58376.170220053624,0.000786696667,38.794,27.427,38.845,27.583
274,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.32 profile.json,13304135,30469.75884107319,0.0016850233339999999,90.18,24.888,38.682,31.066
275,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.33 profile(1).json,12957355,34636.035551796616,0.0008232458339999999,40.717,21.756,40.406,28.741
276,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.33 profile(2).json,13473061,25342.889854103996,0.001923194445,102.917,30.026,41.532,34.696
277,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.33 profile(3).json,13799356,33895.76459021016,0.001913485278,103.007,30.606,43.292,37.86
278,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.33 profile.json,14356932,25120.57822616318,0.001646830556,86.469,29.315,38.346,30.641
279,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.34 profile(1).json,13396814,52579.76752254615,0.000903799722,43.33,29.277,44.896,33.08
280,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.34 profile(2).json,13558640,26222.81089088338,0.001610484723,85.517,29.262,39.085,32.81
281,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.34 profile.json,13459489,28640.57133079475,0.001847520555,99.064,30.937,37.543,40.906
282,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.35 profile(1).json,13927070,27883.774569025358,0.001572800278,84.342,24.349,29.491,35.47
283,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.35 profile(2).json,13983176,20368.390369713285,0.0018784611119999999,101.494,40.887,54.404,49.05
284,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.35 profile.json,14581717,30198.486703281473,0.001803736111,96.476,31.699,48.136,38.838
285,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.36 profile(1).json,13086801,28317.087729672425,0.00171166,92.285,28.071,40.699,33.159
286,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.36 profile(2).json,13919926,21702.02979727947,0.0018279497229999999,97.479,33.284,46.97,42.335
287,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.36 profile(3).json,13972295,34054.240899990946,0.00082045,39.371,28.424,39.412,36.773
288,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.36 profile.json,13035291,38411.751396305,0.00082655,41.416,29.785,43.882,33.05
289,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.37 profile(1).json,14351057,43855.648352427255,0.000835513611,42.614,23.879,36.791,31.372
290,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.37 profile(2).json,13800171,36862.3500515993,0.001885238889,101.754,31.274,40.425,42.013
291,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.37 profile.json,14404772,42080.19576374155,0.001032763889,52.748,31.645,41.091,46.385
292,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.38 profile(1).json,12990235,37444.26399826563,0.001819714722,99.613,30.037,44.705,38.016
293,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.38 profile(2).json,14035395,25908.861761979228,0.001901488611,101.718,24.737,37.885,31.684
294,analysis/data_extraction/input/WOFF2ALL\Firefox 2023-11-23 01.38 profile.json,12981663,27508.0880810714,0.001758884166,93.752,30.466,41.106,35.375
